"Indian Ocean Dipole (IOD) Index"
""
""
"Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec"
"2002 -0.32 0.2 -0.4 -0.4 -0.54 -0.22 -0.25 -0.4 0.54 0.54 0.23 -0.24"
"2003 -0.35 0.22 0.27 0.09 0.24 0.36 0.32 0.4 -0.08 -0.19 -0.32 0.07"
"2004 -0.02 0.04 0.15 0       -0.59 -0.47 -0.3 0.05 0.09 0.02 -0.07 -0.11"
"2005 -0.28 -0.79 -0.71 0.13 0.11 -0.16 -0.52 -0.46 -0.73 -0.71 -0.66 -0.45"
"2006 -0.07 -0.68 -0.22 -0.07 -0.22 -0.28 0.19 0.31 0.71 0.94 0.89 0.46"
"2007 0.26 -0.14 0.19 0.15 0.42 0.34 0.36 0.36 0.36 0.04 -0.17 -0.25"
"2008 0.02 0.07 0.1 -0.33 0.16 0.49 0.79 0.42 0.06 0.03 -0.17 -0.26"
"2009 -0.13 0.31 0.39 -0.03 -0.13 0.01 -0.52 -0.3 -0.17 -0.1 -0.26 0.14"
"2010 0.42 0.17 0.35 0.44 -0.21 -0.14 -0.17 -0.34 -1.16 -1.07 -0.99 -0.39"
"Year Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec"
"2011 -0.05 -0.03 0.17 0.01 -0.11 0.06 -0.04 0.03 0.37 0.47 0.03 0.09"
"2012 0.1 -0.08 0.19 -0.44 -0.69 0        0.51 0.82 0.52 0.3 0.05 0.09"
"2013 0.06 -0.09 -0.03 -0.15 -0.62 -0.51 -0.36 -0.22 -0.34 -0.22 -0.06 -0.25"
"2014 -0.15 -0.07 -0.44 -0.19 -0.08 -0.24 -0.4 -0.57 -0.51 -0.02 0.09 -0.21"
"2015 -0.36 -0.29 -0.05 0.16 0.17 0.31 0.46 0.51 0.72 0.51 0.44 0.04"
"2016 -0.22 -0.4 -0.24 -0.21 -0.53 -0.76 -1.08 -0.58 -0.96 -0.84 -0.46 -0.28"
"2017 0.01 0.05 0.31 0.43 0.61 0.36 0.37 0.72 0.19 0.22 0.21 -0.14"
"2018 0.17 0.49 0.08 0.05 0.14 0.06 0.33 0.36 0.67 0.36 0.46 0.41"
"2019 0.15 -0.06 0.03 0.3 0.83 0.88 0.8 1.42 1.38 1.78 1.78 0.82"
"2020 0.18 -0.21 -0.12 -0.08 0.39 0.57 0.36 -0.16 -0.32 -0.04 0.07 0.18"
"2021 0.26 0.18 0.1     0.28 -0.33 -0.47 -0.48 -0.34 -0.13 -0.69 -0.38 -0.2"
""
"2022 -0.26 -0.37 -0.11 -0.37 -0.55 -0.69 -1.06 -1.17 -1.07 -0.97 -0.59 -0.09"
"2023 0.09 0.32 0.37 0.38 0.02 -0.08 0.12 0.71 0.84 1.44 1.5 1.2"
"2024 0.82 0.3 0.54 0.33 0.16 -0.09 -0.35 0.26 0.11 -0.36 -0.49 -0.5"
"2025 -0.39 0     0.25 0.2    0.21 -0.06 -0.31 -0.51 -0.74 -0.97 -0.8 -0.62"
"2026 -0.03 0.29 0.19 0.33 -0.39"
""
