date,year,state,region,lat,lng,rainfall,onset,onset_date,break_spell,break_duration,heavy_rain,heavy_rain_class
2022-01-01,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-02,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-03,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-04,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-05,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-06,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-07,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-08,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-09,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-10,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-11,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-12,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-13,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-14,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-15,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-16,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-17,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-18,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-19,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-20,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-21,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-22,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-23,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-24,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-25,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-26,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-27,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-28,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-29,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-30,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-01-31,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-01,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-02,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-03,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-04,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-05,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-06,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-07,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-08,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-09,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-10,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-11,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-12,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-13,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-14,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-15,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-16,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-17,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-18,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-19,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-20,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-21,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-22,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-23,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-24,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-25,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-26,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-27,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-02-28,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-01,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-02,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-03,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-04,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-05,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-06,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-07,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-08,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-09,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-10,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-11,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-12,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-13,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-14,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-15,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-16,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-17,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-18,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-19,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-20,2022,Kerala,Kerala_Station,10.8505,76.2711,0.1716257631778717,0,2022-05-12,0,0,0,None/Moderate
2022-03-21,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-22,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-23,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-24,2022,Kerala,Kerala_Station,10.8505,76.2711,26.0036678314209,0,2022-05-12,0,0,0,None/Moderate
2022-03-25,2022,Kerala,Kerala_Station,10.8505,76.2711,0.5139867663383484,0,2022-05-12,0,0,0,None/Moderate
2022-03-26,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-27,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-28,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-29,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-30,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-03-31,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-01,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-02,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-03,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-04,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-05,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-06,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-07,2022,Kerala,Kerala_Station,10.8505,76.2711,3.7859883308410645,0,2022-05-12,0,0,0,None/Moderate
2022-04-08,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-09,2022,Kerala,Kerala_Station,10.8505,76.2711,1.4477119445800781,0,2022-05-12,0,0,0,None/Moderate
2022-04-10,2022,Kerala,Kerala_Station,10.8505,76.2711,1.9419747591018677,0,2022-05-12,0,0,0,None/Moderate
2022-04-11,2022,Kerala,Kerala_Station,10.8505,76.2711,7.586236000061035,0,2022-05-12,0,0,0,None/Moderate
2022-04-12,2022,Kerala,Kerala_Station,10.8505,76.2711,1.9763123989105225,0,2022-05-12,0,0,0,None/Moderate
2022-04-13,2022,Kerala,Kerala_Station,10.8505,76.2711,8.027312278747559,0,2022-05-12,0,0,0,None/Moderate
2022-04-14,2022,Kerala,Kerala_Station,10.8505,76.2711,3.446164846420288,0,2022-05-12,0,0,0,None/Moderate
2022-04-15,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-16,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-17,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-18,2022,Kerala,Kerala_Station,10.8505,76.2711,2.0533626079559326,0,2022-05-12,0,0,0,None/Moderate
2022-04-19,2022,Kerala,Kerala_Station,10.8505,76.2711,0.2484663873910904,0,2022-05-12,0,0,0,None/Moderate
2022-04-20,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-21,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-22,2022,Kerala,Kerala_Station,10.8505,76.2711,16.685766220092773,0,2022-05-12,0,0,0,None/Moderate
2022-04-23,2022,Kerala,Kerala_Station,10.8505,76.2711,4.622125148773193,0,2022-05-12,0,0,0,None/Moderate
2022-04-24,2022,Kerala,Kerala_Station,10.8505,76.2711,18.797603607177734,0,2022-05-12,0,0,0,None/Moderate
2022-04-25,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
2022-04-26,2022,Kerala,Kerala_Station,10.8505,76.2711,0.0,0,2022-05-12,0,0,0,None/Moderate
