YEAR,MONTH,TEMP_CELSIUS,MONTH_NUM,MONTHLY_NORMAL_CELSIUS,TEMP_ANOMALY_CELSIUS
1901,JAN,22.4,1,24.168,-1.7680000000000007
1901,FEB,24.14,2,26.28033333333333,-2.1403333333333308
1901,MAR,29.07,3,29.62366666666667,-0.5536666666666683
1901,APR,31.91,4,32.41766666666667,-0.5076666666666689
1901,MAY,33.41,5,33.82633333333333,-0.4163333333333341
1901,JUN,33.18,6,33.011,0.16899999999999693
1901,JUL,31.21,7,31.315333333333335,-0.10533333333333417
1901,AUG,30.39,8,30.858333333333334,-0.4683333333333337
1901,SEP,30.47,9,30.892666666666667,-0.4226666666666681
1901,OCT,29.97,10,30.158333333333335,-0.18833333333333613
1901,NOV,27.31,11,27.775666666666666,-0.46566666666666734
1901,DEC,24.49,12,25.161333333333335,-0.6713333333333367
1902,JAN,24.93,1,24.168,0.7620000000000005
1902,FEB,26.58,2,26.28033333333333,0.29966666666666697
1902,MAR,29.77,3,29.62366666666667,0.14633333333333098
1902,APR,31.78,4,32.41766666666667,-0.6376666666666679
1902,MAY,33.73,5,33.82633333333333,-0.09633333333333383
1902,JUN,32.91,6,33.011,-0.1010000000000062
1902,JUL,30.92,7,31.315333333333335,-0.3953333333333333
1902,AUG,30.73,8,30.858333333333334,-0.12833333333333385
1902,SEP,29.8,9,30.892666666666667,-1.0926666666666662
1902,OCT,29.12,10,30.158333333333335,-1.038333333333334
1902,NOV,26.31,11,27.775666666666666,-1.4656666666666673
1902,DEC,24.04,12,25.161333333333335,-1.121333333333336
1903,JAN,23.44,1,24.168,-0.727999999999998
1903,FEB,25.03,2,26.28033333333333,-1.2503333333333302
1903,MAR,27.83,3,29.62366666666667,-1.7936666666666703
1903,APR,31.39,4,32.41766666666667,-1.0276666666666685
1903,MAY,32.91,5,33.82633333333333,-0.9163333333333341
1903,JUN,33.0,6,33.011,-0.011000000000002785
1903,JUL,31.34,7,31.315333333333335,0.024666666666664838
1903,AUG,29.98,8,30.858333333333334,-0.8783333333333339
1903,SEP,29.85,9,30.892666666666667,-1.0426666666666655
1903,OCT,29.04,10,30.158333333333335,-1.1183333333333358
1903,NOV,26.08,11,27.775666666666666,-1.6956666666666678
1903,DEC,23.65,12,25.161333333333335,-1.5113333333333365
1904,JAN,22.5,1,24.168,-1.6679999999999993
1904,FEB,24.73,2,26.28033333333333,-1.550333333333331
1904,MAR,28.21,3,29.62366666666667,-1.4136666666666677
1904,APR,32.02,4,32.41766666666667,-0.39766666666666595
1904,MAY,32.64,5,33.82633333333333,-1.1863333333333301
1904,JUN,32.07,6,33.011,-0.9410000000000025
1904,JUL,30.36,7,31.315333333333335,-0.9553333333333356
1904,AUG,30.09,8,30.858333333333334,-0.7683333333333344
1904,SEP,30.04,9,30.892666666666667,-0.8526666666666678
1904,OCT,29.2,10,30.158333333333335,-0.9583333333333357
1904,NOV,26.36,11,27.775666666666666,-1.4156666666666666
1904,DEC,23.63,12,25.161333333333335,-1.531333333333336
1905,JAN,22.0,1,24.168,-2.1679999999999993
1905,FEB,22.83,2,26.28033333333333,-3.450333333333333
1905,MAR,26.68,3,29.62366666666667,-2.943666666666669
1905,APR,30.01,4,32.41766666666667,-2.4076666666666675
1905,MAY,33.32,5,33.82633333333333,-0.5063333333333304
1905,JUN,33.25,6,33.011,0.23899999999999721
1905,JUL,31.44,7,31.315333333333335,0.12466666666666626
1905,AUG,30.68,8,30.858333333333334,-0.17833333333333456
1905,SEP,30.12,9,30.892666666666667,-0.772666666666666
1905,OCT,30.67,10,30.158333333333335,0.5116666666666667
1905,NOV,27.52,11,27.775666666666666,-0.2556666666666665
1905,DEC,23.82,12,25.161333333333335,-1.3413333333333348
1906,JAN,22.28,1,24.168,-1.8879999999999981
1906,FEB,23.69,2,26.28033333333333,-2.59033333333333
1906,MAR,27.31,3,29.62366666666667,-2.31366666666667
1906,APR,31.93,4,32.41766666666667,-0.48766666666666936
1906,MAY,34.11,5,33.82633333333333,0.28366666666666873
1906,JUN,32.19,6,33.011,-0.8210000000000051
1906,JUL,31.01,7,31.315333333333335,-0.30533333333333346
1906,AUG,30.3,8,30.858333333333334,-0.5583333333333336
1906,SEP,29.92,9,30.892666666666667,-0.9726666666666652
1906,OCT,29.55,10,30.158333333333335,-0.6083333333333343
1906,NOV,27.6,11,27.775666666666666,-0.17566666666666464
1906,DEC,24.72,12,25.161333333333335,-0.44133333333333624
1907,JAN,24.46,1,24.168,0.2920000000000016
1907,FEB,24.01,2,26.28033333333333,-2.2703333333333298
1907,MAR,27.04,3,29.62366666666667,-2.5836666666666694
1907,APR,31.79,4,32.41766666666667,-0.6276666666666699
1907,MAY,32.68,5,33.82633333333333,-1.146333333333331
1907,JUN,31.92,6,33.011,-1.091000000000001
1907,JUL,31.05,7,31.315333333333335,-0.2653333333333343
1907,AUG,29.58,8,30.858333333333334,-1.278333333333336
1907,SEP,30.67,9,30.892666666666667,-0.22266666666666524
1907,OCT,29.87,10,30.158333333333335,-0.288333333333334
1907,NOV,27.78,11,27.775666666666666,0.0043333333333350765
1907,DEC,24.44,12,25.161333333333335,-0.7213333333333338
1908,JAN,23.57,1,24.168,-0.597999999999999
1908,FEB,25.26,2,26.28033333333333,-1.0203333333333298
1908,MAR,28.86,3,29.62366666666667,-0.7636666666666692
1908,APR,32.42,4,32.41766666666667,0.0023333333333326323
1908,MAY,33.02,5,33.82633333333333,-0.8063333333333276
1908,JUN,33.12,6,33.011,0.10899999999999466
1908,JUL,30.61,7,31.315333333333335,-0.7053333333333356
1908,AUG,29.55,8,30.858333333333334,-1.3083333333333336
1908,SEP,29.59,9,30.892666666666667,-1.302666666666667
1908,OCT,29.35,10,30.158333333333335,-0.8083333333333336
1908,NOV,26.88,11,27.775666666666666,-0.895666666666667
1908,DEC,23.73,12,25.161333333333335,-1.4313333333333347
1909,JAN,22.67,1,24.168,-1.4979999999999976
1909,FEB,24.36,2,26.28033333333333,-1.920333333333332
1909,MAR,29.22,3,29.62366666666667,-0.4036666666666697
1909,APR,30.79,4,32.41766666666667,-1.62766666666667
1909,MAY,33.06,5,33.82633333333333,-0.7663333333333284
1909,JUN,31.7,6,33.011,-1.3110000000000035
1909,JUL,29.81,7,31.315333333333335,-1.5053333333333363
1909,AUG,29.81,8,30.858333333333334,-1.0483333333333356
1909,SEP,30.06,9,30.892666666666667,-0.8326666666666682
